Comments,Retweets,Likes,Bookmarks,Views,Link,User,Engagement_Total
1,1,26,0,914,https://x.com/eofeldima/status/1883414097049633161/photo/1,eofeldima,975
2,0,26,1,827,https://x.com/eofeldima/status/1882844657979363446/photo/1,eofeldima,892
3,0,9,1,433,https://x.com/batatrader/status/1883882092368482682,batatrader,470
1,0,6,0,324,https://x.com/Claramente23223/status/1883970170068299897,Claramente23223,342
2,0,5,2,224,https://x.com/Satoukibijusu/status/1883961707263127872/photo/1,Satoukibijusu,248
2,0,3,1,171,https://x.com/renatocardosos7/status/1883178644513734970/photo/1,renatocardosos7,190
1,2,3,0,92,https://x.com/s3_nds/status/1882165543139946732/history,s3_nds,110
1,0,4,0,96,https://x.com/0xposseidon/status/1883897731821056077/photo/1,0xposseidon,110
1,0,0,0,23,https://x.com/Despatrickster/status/1883331547753029777,Despatrickster,29
1,0,1,0,10,https://x.com/romanjho/status/1883994301522420179/photo/1,romanjho,18
